plant,species,ontogeny,total,heteroblasty,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
Psub2,suberosa,7,7,1,-22.16045221,368.2017354,-34.67755399,354.1168195,-19.84705966,328.9034311,12.08879258,322.2893566,25.42423893,343.094659,19.55665943,360.3434337,-597.2569968,305.8329089,-659.5620672,251.2044577,-693.2445587,-475.1484097,-489.2515179,-477.7000536,113.3697698,-1192.075668,463.9269735,-530.790345,593.6566679,-384.8315618,690.5092363,134.1170364,597.4678681,292.4422003
Psub3,suberosa,1,7,7,-4.8630778,217.2154265,-11.24159928,206.8628868,4.097757369,195.8427721,24.68104929,199.9549109,45.02119878,210.8080405,40.25642539,222.6889092,-366.0073565,138.2202244,-440.0806918,106.639091,-1182.115123,-495.5789323,-131.4729893,-29.81468292,63.30761861,-702.5744137,136.8757869,-11.51554277,1202.316778,-603.885076,342.2694513,149.1526441,276.9547722,195.9837425
Psub3,suberosa,2,7,6,-48.16508864,144.4036966,-56.9718377,131.5418981,-38.12903159,113.2889206,-10.56373767,113.1971393,7.697665932,131.5100056,1.094031174,146.7771453,-415.1268579,120.5464412,-468.8268168,97.42950645,-1229.760703,-251.7963585,-210.0572931,-175.154512,16.46083406,-419.6273504,180.5832431,-140.3192857,1240.919597,-218.8730493,561.7299844,91.55241979,469.1160113,115.5233831
Psub3,suberosa,3,7,5,-25.97625119,64.39628003,-33.46859424,56.56991469,-21.36855785,45.77837601,-9.452681581,47.38137682,3.582311045,55.31137864,0.208555645,63.93402315,-305.1441683,75.16765365,-375.3242217,71.57096159,-1207.291265,-78.95897891,-159.391994,-114.3828913,-0.905293932,-313.0235588,144.3517653,-119.7450711,1231.981546,-50.29256436,417.2344058,89.81692328,340.9644437,106.4761766
Psub3,suberosa,4,7,4,-26.41967876,124.4933767,-31.59925657,115.8836449,-13.70487004,103.5178908,3.919474917,96.55758064,15.77607287,111.8764949,10.39926234,121.2344974,-435.3249418,186.0012763,-576.0008638,107.8238879,-1193.970371,-86.39670688,-312.9095945,-242.7790077,-6.685349723,-675.7576139,330.8699073,-251.1395042,1255.734044,-120.7534875,537.7082671,194.4835646,442.2078976,214.954106
Psub3,suberosa,5,7,3,-21.0154286,159.6864683,-31.90473172,146.8431642,-20.69165832,130.1071978,4.650696866,130.6045488,23.70751947,149.2357877,11.47823449,163.2309423,-523.9135518,155.3329048,-601.2090987,109.9637758,-1201.966133,-120.6620129,-319.4990448,-266.8563829,13.78715384,-776.008776,320.0605726,-259.1387905,1144.926761,-83.04782736,634.780627,157.8372228,566.8080816,202.8717773
Psub3,suberosa,6,7,2,-42.98315451,264.9505331,-54.74712092,253.7009535,-37.41558526,235.2998577,-14.01999167,230.0635697,4.253754939,248.9690724,-5.931254424,267.1562562,-445.0351909,299.752129,-547.388825,272.459476,-1049.940343,-447.8540085,-389.5009512,-327.878673,24.48578634,-1097.608436,361.1439985,-324.1779565,1087.660066,-374.7104383,598.4750178,208.3281769,510.9437932,291.5494881
Psub3,suberosa,7,7,1,-30.10258712,337.5322176,-42.98024946,324.0123543,-22.0519234,310.1002541,19.55703098,304.2055647,45.69079899,320.5844433,32.48287302,336.3039278,-529.5179262,288.3706514,-596.2721241,228.4424221,-736.0563091,-432.3098508,-546.8216748,-433.6127741,12.5235749,-1311.811976,528.923926,-428.6867966,780.7107675,-424.4666746,572.9072842,246.1209823,511.0065387,335.2152542
Psub4,suberosa,1,12,12,-65.23241089,369.0641224,-61.63633161,350.7499308,-53.78915543,326.9311086,-10.99616664,321.7196582,-1.474420841,345.4072599,-8.954134496,361.6537532,-168.0794764,307.8461798,-194.9292785,285.0446492,-421.9342582,-490.5041324,-174.3384175,-228.1894082,6.236804523,-1660.652148,154.5051277,-149.8207348,667.2595868,-552.2443104,178.5675568,173.0280501,154.7949748,239.9660214
Psub4,suberosa,2,12,11,-11.39415004,255.6380505,-8.397490989,239.5942914,-2.426307486,218.0832855,34.21361608,211.9045693,48.97556531,237.4508963,43.80438959,250.3212524,-346.1164394,185.3051011,-427.0511977,158.4679773,-1072.061838,-409.3245209,-197.2401011,-41.79991549,-17.0151741,-1325.672104,191.6555464,-37.52910217,1135.587171,-364.2088752,351.9333686,186.7659849,275.5330418,235.0031088
